"csvline","url","filename","local_path","encrypted","decrypt_pass","istagged","pages","toc","form","fields","tables","word_count","char_count","words_per_page","chars_per_word","image_count","%_img_per_page","ocr_risk","author","creator","producer","subject","title","text"
"13","https://www.drupal.com/feature/multilingual","multilingual","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\multilingual","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"14","https://www.drupal.com/get-started-with-drupal","get-started-with-drupal","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\get-started-with-drupal","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"15","https://www.drupal.com/feature/content-as-a-service","content-as-a-service","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\content-as-a-service","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"16","https://www.drupal.com/product/commerce","commerce","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\commerce","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"17","https://www.drupal.com/showcases","showcases","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\showcases","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"18","https://www.drupal.com/case-study/economist-espresso-app-drupal","economist-espresso-app-drupal","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\economist-espresso-app-drupal","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"19","https://www.drupal.com/contact/trademark","trademark","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\trademark","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"20","https://www.drupal.com/filter/tips","tips","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\tips","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"21","https://www.drupal.com/case-study/fiji-travel","fiji-travel","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\fiji-travel","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"22","https://www.drupal.com/trademark/apply","apply","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\apply","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
