"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","Meta Keyword 2","Meta Keywords 2 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.rcmp-grc.gc.ca/sites/default/files/css/css_P6fdhsb_mbRSa8L0n0-VhWBuFeYTdTFSAO6KpkEkGmg.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","7245","0","0.0","1","","0","0","0.0","0","0","","","","0.215","Fri, 24 Apr 2020 18:14:52 GMT","","","https://www.rcmp-grc.gc.ca/sites/default/files/css/css_P6fdhsb_mbRSa8L0n0-VhWBuFeYTdTFSAO6KpkEkGmg.css"
"https://www.rcmp-grc.gc.ca/dist/jquery/jquery-2.1.4.min.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","29569","0","0.0","1","","0","0","0.0","0","0","","","","0.29","Mon, 03 Apr 2017 18:12:56 GMT","","","https://www.rcmp-grc.gc.ca/dist/jquery/jquery-2.1.4.min.js"
"https://www.rcmp-grc.gc.ca/wam/media/86/small/b5beb717fe9830db1730e9cb020a9c27.gif","image/gif","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","1619","0","0.0","1","","0","0","0.0","0","0","","","","0.241","","","","https://www.rcmp-grc.gc.ca/wam/media/86/small/b5beb717fe9830db1730e9cb020a9c27.gif"
"https://www.rcmp-grc.gc.ca/en/firearms","text/html; charset=utf-8","200","OK","Indexable","","Firearms | Royal Canadian Mounted Police","40","375","","0","0","","0","","0","Firearms","8","","0","Language selection","18","Search and menus","16","","","","","","","","","17724","379","15.247446","1","6","51","46","2.34","43","38","","","3788843cc90b57c0fe705f424ccdee2a","0.14","","","","https://www.rcmp-grc.gc.ca/en/firearms"
"https://www.rcmp-grc.gc.ca/dist/wet-boew/js/wet-boew.min.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","47171","0","0.0","1","","0","0","0.0","0","0","","","","0.429","Thu, 22 Jun 2017 17:46:21 GMT","","","https://www.rcmp-grc.gc.ca/dist/wet-boew/js/wet-boew.min.js"
"https://www.rcmp-grc.gc.ca/sites/default/files/css/css_cixahtjj82FMo-sw03zfhIEFjXeFYDWyim6bJ88goNM.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","1798","0","0.0","1","","0","0","0.0","0","0","","","","0.294","Fri, 24 Apr 2020 18:14:52 GMT","","","https://www.rcmp-grc.gc.ca/sites/default/files/css/css_cixahtjj82FMo-sw03zfhIEFjXeFYDWyim6bJ88goNM.css"
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/carousel/public/features/2020-05-26/scam3-fe.jpg?sc=9c54f524a5f9534c418cd068f8aa3e9a","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","103809","0","0.0","1","","0","0","0.0","0","0","","","","0.289","Tue, 26 May 2020 11:37:21 GMT","","","https://www.rcmp-grc.gc.ca/sites/default/files/styles/carousel/public/features/2020-05-26/scam3-fe.jpg?sc=9c54f524a5f9534c418cd068f8aa3e9a"
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/carousel/public/features/2020-05-25/publicsite-rotator-no-virus-1179x600.jpg?sc=451e38217b9242219ec93b5ead895299","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","69851","0","0.0","1","","0","0","0.0","0","0","","","","0.381","Mon, 25 May 2020 15:37:30 GMT","","","https://www.rcmp-grc.gc.ca/sites/default/files/styles/carousel/public/features/2020-05-25/publicsite-rotator-no-virus-1179x600.jpg?sc=451e38217b9242219ec93b5ead895299"
"https://www.rcmp-grc.gc.ca/fr","text/html; charset=utf-8","200","OK","Indexable","","Page d'accueil nationale | Gendarmerie royale du Canada","55","505","","0","0","","0","","0","","0","","0","Sélection de la langue","22","Recherche et menus","18","","","","","","","","","16580","224","9.037055","1","42","1645","821","41.78","36","23","","","769f842dd2a005b86c482593ae30c166","0.233","","","","https://www.rcmp-grc.gc.ca/fr"
"https://www.rcmp-grc.gc.ca/fam/index-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Family Corner - Royal Canadian Mounted Police","45","421","","0","0","family, resources, benefits, health, MEAP","41","","0","Common menu bar links","21","Institutional links","19","Health","6","Retirement, Pension and Benefits","32","index, follow","","","","","","","","13868","249","12.44951","1","16","710","682","34.71","49","43","","","58cbc82f0578b536c8912600580a721d","0.208","","","","https://www.rcmp-grc.gc.ca/fam/index-eng.htm"
