"Site Crawled","http://restart/"
"Date","Tuesday, Aug. 18, 2020"
"Time","13:22:52 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"All","0","0.00%","0","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","0","Internal HTML pages with 2xx response"
"First Page","0","0.00%","0","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","0","Internal HTML pages with 2xx response"
"Pagination URL Not In Anchor Tag","0","0.00%","0","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","0","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","0","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","0","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","0","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","0","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","0","Internal HTML pages with 2xx response"
""
"Directives"
"All","0","0.00%","0","Internal URLs with 2xx response"
"Index","0","0.00%","0","Internal URLs with 2xx response"
"Noindex","0","0.00%","0","Internal URLs with 2xx response"
"Follow","0","0.00%","0","Internal URLs with 2xx response"
"Nofollow","0","0.00%","0","Internal URLs with 2xx response"
"None","0","0.00%","0","Internal URLs with 2xx response"
"NoArchive","0","0.00%","0","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","0","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","0","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","0","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","0","Internal URLs with 2xx response"
"NoODP","0","0.00%","0","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","0","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","0","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","0","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","0","Internal URLs with 2xx response"
"Refresh","0","0.00%","0","Internal URLs with 2xx response"
""
"Hreflang"
"All","0","0.00%","0","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","0","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","0","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","0","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","0","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","0","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","0","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","0","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","0","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","0","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","0","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","0","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","0","Internal pages with 2xx response"
"Missing","0","0.00%","0","Internal pages with 2xx response"
""
"AJAX"
"All","0","0.00%","0","Internal pages crawled in escaped fragment form"
"With Hash Fragment","0","0.00%","0","Internal pages crawled in escaped fragment form"
"Without Hash Fragment","0","0.00%","0","Internal pages crawled in escaped fragment form"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","0","Internal AMP URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
