"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.rcmp-grc.gc.ca/hon/honour-honneur-roll-tableau-eng.htm","1","RCMP Honour Roll","16","165","Indexable",""
"https://www.rcmp-grc.gc.ca/en/about-rcmp","1","About the RCMP | Royal Canadian Mounted Police","46","445","Indexable",""
"https://www.rcmp-grc.gc.ca/hon/index-eng.htm","1","Honours and Recognition Programs","32","310","Indexable",""
"https://www.rcmp-grc.gc.ca/en/transparency","1","Transparency: Royal Canadian Mounted Police | Royal Canadian Mounted Police","75","708","Indexable",""
"https://www.rcmp-grc.gc.ca/en/what-is-fentanyl","1","What is fentanyl? | Royal Canadian Mounted Police","49","448","Indexable",""
"https://www.rcmp-grc.gc.ca/drugs-drogues/msdi-ilcmds/lab-eng.htm","1","Clandestine Synthetic Drug Laboratories","39","353","Indexable",""
"https://www.rcmp-grc.gc.ca/ert-gti/index-eng.htm","1","Emergency Response Team","23","249","Indexable",""
"https://www.rcmp-grc.gc.ca/en/covid-19?fe","1","Coronavirus disease (COVID-19) | Royal Canadian Mounted Police","62","587","Indexable",""
"https://www.rcmp-grc.gc.ca/detach/en","1","Find a detachment","17","162","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/paop-piap-eng.htm","1","Administration of RCMP Pension Plans - Royal Canadian Mounted Police","68","637","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/impacts-services-due-the-coronavirus-disease-covid-19","1","Impacts on services due to the Coronavirus disease (COVID-19) | Royal Canadian Mounted Police","93","862","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/police-public-agency-web-services","1","Police/Public Agency Web Services (PWS) | Royal Canadian Mounted Police","71","672","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/k-eng.htm","1","Alberta - Royal Canadian Mounted Police","39","361","Indexable",""
"https://www.rcmp-grc.gc.ca/drugs-drogues/msdi-ilcmds/index-eng.htm","1","Marihuana and Synthetic Drug Initiatives","40","350","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/individual-web-services","1","Individual Web Services | Royal Canadian Mounted Police","55","505","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/health-sante-eng.htm","1","Health / Dental Claims & Information - Royal Canadian Mounted Police","68","615","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/privacy-and-access-information","1","Your privacy and access to information | Royal Canadian Mounted Police","70","638","Indexable",""
"https://www.rcmp-grc.gc.ca/ht-tp/index-eng.htm","1","Human Trafficking National Coordination Centre","46","414","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/d-eng.htm","1","Manitoba - Royal Canadian Mounted Police","40","379","Indexable",""
"https://www.rcmp-grc.gc.ca/count-contre/index-eng.htm","1","Counterfeit Currency - Royal Canadian Mounted Police","52","479","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/importing-and-exporting","1","Importing and exporting | Royal Canadian Mounted Police","55","503","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/shooting-clubs-and-ranges","1","Shooting clubs and ranges | Royal Canadian Mounted Police","57","528","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/o-eng.htm","1","Ontario - Royal Canadian Mounted Police","39","363","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/business-web-services","1","Business Web Services | Royal Canadian Mounted Police","53","503","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/registration","1","Registration | Royal Canadian Mounted Police","44","402","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/contact-a-chief-firearms-officer","1","Contact a Chief Firearms Officer | Royal Canadian Mounted Police","64","583","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/l-eng.htm","1","Prince Edward Island - Royal Canadian Mounted Police","52","485","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/j-eng.htm","1","New Brunswick - Royal Canadian Mounted Police","45","432","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/armes-a-feu","1","Armes à feu | Gendarmerie royale du Canada","42","401","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/h-eng.htm","1","Nova Scotia - Royal Canadian Mounted Police","43","403","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/bill-c-71-need-know","1","Bill C-71 - What you need to know | Royal Canadian Mounted Police","65","597","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/buying-and-selling-transferring-firearms","1","Buying and selling (transferring) firearms | Royal Canadian Mounted Police","74","651","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/contact-the-canadian-firearms-program","1","Contact the Canadian Firearms Program | Royal Canadian Mounted Police","69","652","Indexable",""
"https://www.rcmp-grc.gc.ca/fio-ofi/finan-crime-eng.htm","1","Financial Crime - Royal Canadian Mounted Police","47","432","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/firearms-reports","1","Firearms reports | Royal Canadian Mounted Police","48","444","Indexable",""
"https://www.rcmp-grc.gc.ca/en/news/media-relations-offices","1","Media relations offices | Royal Canadian Mounted Police","55","495","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/covid-19?fe","1","Maladie à coronavirus (COVID-19) | Gendarmerie royale du Canada","63","598","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/restez-au-courant","1","Restez branchés | Gendarmerie royale du Canada","46","441","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-fra.htm?fe","1","Services de santé mentale offerts aux employés de la GRC - Gendarmerie royale du Canada","87","815","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/aidez-nous","1","Aidez-nous | Gendarmerie royale du Canada","41","390","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/avis","1","Avis | Gendarmerie royale du Canada","35","330","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-fra.htm","1","Services de santé mentale offerts aux employés de la GRC - Gendarmerie royale du Canada","87","815","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/dm-gi-eng.htm","1","Disability Management and Accommodation for RCMP Members - Royal Canadian Mounted Police","88","863","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/solvent-traps","1","Solvent traps | Royal Canadian Mounted Police","45","412","Indexable",""
"https://www.rcmp-grc.gc.ca/fio-ofi/grow-ops-culture-eng.htm","1","Marihuana Grow Operations - Royal Canadian Mounted Police","57","547","Indexable",""
"https://www.rcmp-grc.gc.ca/pp/index-eng.htm","1","Protective Policing Services - Royal Canadian Mounted Police","60","540","Indexable",""
"https://www.rcmp-grc.gc.ca/form/index-eng.htm","1","Forms - Royal Canadian Mounted Police","37","354","Indexable",""
"https://www.rcmp-grc.gc.ca/en/history-firearms-canada","1","History of firearms in Canada | Royal Canadian Mounted Police","61","553","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/f-eng.htm","1","Saskatchewan - Royal Canadian Mounted Police","44","426","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/index-az","1","Index du site A-Z | Gendarmerie royale du Canada","48","443","Indexable",""
"https://www.rcmp-grc.gc.ca/drugs-drogues/poster-affiche/index-eng.htm","1","Drug Identification Chart - Royal Canadian Mounted Police","57","510","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/e-eng.htm","1","British Columbia - Royal Canadian Mounted Police","48","439","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/firearms-safety","1","Firearms safety | Royal Canadian Mounted Police","47","435","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/emer-urge-eng.htm","1","Employee and Family Emergency Preparedness - Royal Canadian Mounted Police","74","720","Indexable",""
"https://www.rcmp-grc.gc.ca/dnaac-adncc/index-eng.htm","1","National DNA Data Bank Advisory Committee - Royal Canadian Mounted Police","73","694","Indexable",""
"https://www.rcmp-grc.gc.ca/aboriginal-autochtone/index-eng.htm","1","Serving Indigenous Peoples and Communities - Royal Canadian Mounted Police","74","696","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/list-licensed-carriers","1","List of licensed carriers | Royal Canadian Mounted Police","57","501","Indexable",""
"https://www.rcmp-grc.gc.ca/en/firearms/changes-service-fees","1","Changes to service fees | Royal Canadian Mounted Police","55","509","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/transparence","1","Transparence: Gendarmerie royale du Canada | Gendarmerie royale du Canada","73","703","Indexable",""
"https://www.rcmp-grc.gc.ca/detach/fr","1","Localiser un détachement","24","224","Indexable",""
"https://www.rcmp-grc.gc.ca/en/use-force","1","Use of Force | Royal Canadian Mounted Police","44","411","Indexable",""
"https://www.rcmp-grc.gc.ca/en/youth-safety/","1","Youth safety | Royal Canadian Mounted Police","44","408","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/gazette/gare-a-fraude-liee-a-covid-19?fe&fe","1","Gare à la fraude liée à la COVID-19 | Gendarmerie royale du Canada","66","611","Indexable",""
"https://www.rcmp-grc.gc.ca/en/history-rcmp","1","History of the RCMP | Royal Canadian Mounted Police","51","478","Indexable",""
"https://www.rcmp-grc.gc.ca/ccb-sddc/index-eng.htm","1","Commercial Crime - Royal Canadian Mounted Police","48","460","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/carrieres-la-grc","1","Carrières à la GRC | Gendarmerie royale du Canada","49","464","Indexable",""
"https://www.rcmp-grc.gc.ca/en/sex-offender-management","1","Sex offender management | Royal Canadian Mounted Police","55","528","Indexable",""
"https://www.rcmp-grc.gc.ca/depot/visitors-visiteurs/memorial-service-commemoratif-eng.htm","1","This page has moved - Royal Canadian Mounted Police","51","485","Non-Indexable","Redirected"
"https://www.rcmp-grc.gc.ca/fr/emplacements","1","Emplacements | Gendarmerie royale du Canada","43","423","Indexable",""
"https://www.rcmp-grc.gc.ca/on/cont/index-eng.htm","1","Contact Us - Royal Canadian Mounted Police","42","395","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/reseau-info-securite-nationale","1","Réseau info-sécurité nationale | Gendarmerie royale du Canada","61","558","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/services","1","Services | Gendarmerie royale du Canada","39","369","Indexable",""
"https://www.rcmp-grc.gc.ca/ts-sr/index-eng.htm","1","Traffic Services - Royal Canadian Mounted Police","48","435","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/casiers-judiciaires","1","Casiers judiciaires | Gendarmerie royale du Canada","50","453","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/gazette/accueil","1","La revue Gazette | Gendarmerie royale du Canada","47","446","Indexable",""
"https://www.rcmp-grc.gc.ca/en/national-police-week","1","National Police Week | Royal Canadian Mounted Police","52","483","Indexable",""
"https://www.rcmp-grc.gc.ca/en/covid-19","1","Coronavirus disease (COVID-19) | Royal Canadian Mounted Police","62","587","Indexable",""
"https://www.rcmp-grc.gc.ca/en/online-child-sexual-exploitation","1","Online child sexual exploitation | Royal Canadian Mounted Police","64","562","Indexable",""
"https://www.rcmp-grc.gc.ca/fio-ofi/index-eng.htm","1","Federal and International Operations - Royal Canadian Mounted Police","68","619","Indexable",""
"https://www.rcmp-grc.gc.ca/ccaps-spcca/index-eng.htm","1","Community policing - Royal Canadian Mounted Police","50","466","Indexable",""
"https://www.rcmp-grc.gc.ca/aboriginal-autochtone/mmaw-fada-eng.htm","1","Missing and murdered Indigenous women and girls - Royal Canadian Mounted Police","79","741","Indexable",""
"https://www.rcmp-grc.gc.ca/en/our-partners","1","Our partners | Royal Canadian Mounted Police","44","409","Indexable",""
"https://www.rcmp-grc.gc.ca/en/national-youth-engagement-week","1","National Youth Engagement Week | Royal Canadian Mounted Police","62","597","Indexable",""
"https://www.rcmp-grc.gc.ca/en/rcmp-family-violence-initiative-fund","1","RCMP Family Violence Initiative Fund | Royal Canadian Mounted Police","68","624","Indexable",""
"https://www.rcmp-grc.gc.ca/en/reclass/index.php","1","Reports | Royal Canadian Mounted Police","39","367","Indexable",""
"https://www.rcmp-grc.gc.ca/en/contrib/index.php","1","Reports | Royal Canadian Mounted Police","39","367","Indexable",""
"https://www.rcmp-grc.gc.ca/en/ceremonial-and-traditional-objects","1","Ceremonial and traditional objects | Royal Canadian Mounted Police","66","594","Indexable",""
"https://www.rcmp-grc.gc.ca/en/bibliographies","1","Bibliography | Royal Canadian Mounted Police","44","404","Indexable",""
"https://www.rcmp-grc.gc.ca/en/relationship-violence","1","Relationship violence | Royal Canadian Mounted Police","53","479","Indexable",""
"https://www.rcmp-grc.gc.ca/en/rcmp-workplace-substance-use-policy","1","RCMP workplace Substance Use Policy | Royal Canadian Mounted Police","67","647","Indexable",""
"https://www.rcmp-grc.gc.ca/en/managing-criminal-records","1","Managing criminal records | Royal Canadian Mounted Police","57","527","Indexable",""
"https://www.rcmp-grc.gc.ca/fr/quest-ce-que-le-fentanyl","1","Qu'est-ce que le fentanyl? | Gendarmerie royale du Canada","57","523","Indexable",""
"https://www.rcmp-grc.gc.ca/fam/neily-eng.htm","1","Peter's Story - Royal Canadian Mounted Police","45","413","Indexable",""
"https://www.rcmp-grc.gc.ca/en/access-information-and-privacy","1","Access to Information and Privacy | Royal Canadian Mounted Police","65","596","Indexable",""
"https://www.rcmp-grc.gc.ca/en/client-and-partner-surveys","1","Client and partner survey results | Royal Canadian Mounted Police","65","580","Indexable",""
"https://www.rcmp-grc.gc.ca/en/tartan","1","Tartan | Royal Canadian Mounted Police","38","354","Indexable",""
"https://www.rcmp-grc.gc.ca/en/acts-and-regulations","1","Acts and regulations | Royal Canadian Mounted Police","52","475","Indexable",""
"https://www.rcmp-grc.gc.ca/en/facial-reconstruction-canadian-unidentified-human-remains","1","Facial reconstruction of Canadian unidentified human remains | Royal Canadian Mounted Police","92","831","Indexable",""
"https://www.rcmp-grc.gc.ca/en/conducted-energy-weapon-cew","1","Conducted Energy Weapon | Royal Canadian Mounted Police","55","538","Indexable",""
"https://www.rcmp-grc.gc.ca/en/cannabis","1","Cannabis | Royal Canadian Mounted Police","40","378","Indexable",""
"https://www.rcmp-grc.gc.ca/en/witness-protection","1","Witness protection | Royal Canadian Mounted Police","50","460","Indexable",""
"https://www.rcmp-grc.gc.ca/en/seniors-guidebook-safety-and-security","1","Seniors Guidebook to Safety and Security | Royal Canadian Mounted Police","72","665","Indexable",""
"https://www.rcmp-grc.gc.ca/en/information-sexual-assault-survivors","1","Information for sexual assault survivors | Royal Canadian Mounted Police","72","637","Indexable",""
"https://www.rcmp-grc.gc.ca/en/nb/contact-us","1","Contact the RCMP in the New Brunswick | Royal Canadian Mounted Police","69","655","Indexable",""
"https://www.rcmp-grc.gc.ca/en/wanted/gioncondo-napoli","1","Wanted by the RCMP: Gioncondo Napoli | Royal Canadian Mounted Police","68","655","Indexable",""
"https://www.rcmp-grc.gc.ca/en/wanted/hossein-ghoodjani","1","Wanted by the RCMP: Hossein Ghoodjani | Royal Canadian Mounted Police","69","664","Indexable",""
