"Address","Content","Status Code","Status","Crawl Depth","Inlinks"
"http://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=23601","","307","HSTS Policy","2","0"
"https://www.facebook.com/about/privacy","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.canada.ca/en/treasury-board-secretariat/topics/government-communications/federal-identity-requirements/legal-protection-official-symbols-government-canada.html","text/html; charset=UTF-8","200","OK","2","0"
"http://laws.justice.gc.ca/eng/regulations/SOR-92-48/index.html","","307","HSTS Policy","2","0"
"http://www.infosource.gc.ca/emp/emp03-eng.asp","","307","HSTS Policy","2","0"
"https://laws-lois.justice.gc.ca/eng/acts/F-11/page-28.html","text/html","200","OK","2","0"
"https://policies.google.com/privacy?hl=en","text/html; charset=utf-8","200","OK","2","0"
"https://www.youtube.com/user/grcrcmpquebec","text/html; charset=utf-8","200","OK","2","0"
"http://www.cpc.gc.ca/en","text/html","404","Not Found","2","0"
"https://twitter.com/bcrcmp","text/html;charset=utf-8","200","OK","2","0"
"https://www.instagram.com/rcmpgrcpolice/","text/html; charset=utf-8","200","OK","2","0"
"https://www.facebook.com/OnionLakeRCMP","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.facebook.com/YorktonRCMP/","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.facebook.com/SmithersRCMP","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.facebook.com/goldenrcmp/","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.youtube.com/channel/UC5Jvya95OQL8_tHLKX8dNCw","text/html; charset=utf-8","200","OK","2","0"
"https://twitter.com/cqrcmp","text/html;charset=utf-8","200","OK","2","0"
"https://www.instagram.com/bcrcmp/","text/html; charset=utf-8","200","OK","2","0"
"https://twitter.com/University_RCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/COAST_RCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/N_cowichanRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/RCMPBigRiver","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/RCMPDepot","text/html;charset=utf-8","200","OK","2","0"
"https://www.facebook.com/rcmpnationaldivision","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.youtube.com/user/rcmptv","text/html; charset=utf-8","200","OK","2","0"
"https://www.youtube.com/user/rcmpgrcpolice","text/html; charset=utf-8","200","OK","2","0"
"https://twitter.com/UclueletRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/RCMPKindersley","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/NanaimoRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/Surreyrcmp","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/RCMPSK","text/html;charset=utf-8","200","OK","2","0"
"https://www.instagram.com/rcmpsk/","text/html; charset=utf-8","200","OK","2","0"
"https://www.facebook.com/RCMPKindersley","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.youtube.com/channel/UCVi_9AvMauZD1-eHxyIyEJw","text/html; charset=utf-8","200","OK","2","0"
"https://www.facebook.com/nanaimorcmp","text/html; charset=""utf-8""","200","OK","2","0"
"https://twitter.com/rcmpqc","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/SoutheastRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/ComoxValleyRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/RichmondRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/Nat_Div_RCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/rcmpnb","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/KamloopsRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/RidgeRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://www.youtube.com/channel/UCTFXvLvwGSdmaMFAqpUKPDg","text/html; charset=utf-8","200","OK","2","0"
"https://www.facebook.com/rcmpnunavut/","text/html; charset=""utf-8""","200","OK","2","0"
"https://twitter.com/rcmpgrcpolice","text/html;charset=utf-8","200","OK","2","0"
"https://www.youtube.com/user/rcmpnlsocial","text/html; charset=utf-8","200","OK","2","0"
"https://twitter.com/rcmpont","text/html;charset=utf-8","200","OK","2","0"
"https://www.facebook.com/LangleyRCMP/","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.facebook.com/cqrcmp/","text/html; charset=""utf-8""","200","OK","2","0"
"http://bc.rcmp-grc.gc.ca/ViewPage.action?siteNodeId=171&languageId=1","text/html;charset=utf-8","200","OK","2","0"
"https://www.facebook.com/yukonrcmp/","text/html; charset=""utf-8""","200","OK","2","0"
"https://www.facebook.com/RCMPQuebec","text/html; charset=""utf-8""","200","OK","2","0"
"https://twitter.com/TerraceRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://twitter.com/WestshoreRCMP","text/html;charset=utf-8","200","OK","2","0"
"https://www.instagram.com/RCMPOntario/","text/html; charset=utf-8","200","OK","2","0"
"https://twitter.com/rcmpmb","text/html;charset=utf-8","200","OK","2","0"
"https://www.facebook.com/rcmpgrcpei","text/html; charset=""utf-8""","200","OK","2","0"
