"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.drupal.com/sites/default/files/css/css_ryBSuY6ETDYX5H8CNbQkCtPllLstHaaX3ypdLpJ6bKA.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","4688","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.108","Sun, 19 Jul 2020 01:29:14 GMT","","","https://www.drupal.com/sites/default/files/css/css_ryBSuY6ETDYX5H8CNbQkCtPllLstHaaX3ypdLpJ6bKA.css"
"https://www.drupal.com/sites/default/files/inline-images/scale2.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","46734","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.118","Wed, 24 Jun 2015 18:42:14 GMT","","","https://www.drupal.com/sites/default/files/inline-images/scale2.png"
"https://www.drupal.com/sites/default/files/grammy_1.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","255395","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.120","Mon, 08 Jan 2018 15:47:18 GMT","","","https://www.drupal.com/sites/default/files/grammy_1.jpg"
"https://www.drupal.com/sites/default/files/inline-images/druplicon-small.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","379","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.119","Wed, 24 Jun 2015 18:42:14 GMT","","","https://www.drupal.com/sites/default/files/inline-images/druplicon-small.png"
"https://www.drupal.com/sites/default/files/inmotion%20july%202011_0.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","26811","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.171","Wed, 24 Jun 2015 18:42:14 GMT","","","https://www.drupal.com/sites/default/files/inmotion%20july%202011_0.png"
"https://www.drupal.com/sites/default/files/inline-images/idea.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","56303","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.189","Wed, 24 Jun 2015 18:42:14 GMT","","","https://www.drupal.com/sites/default/files/inline-images/idea.png"
"https://www.drupal.com/sites/default/files/google_tag/primary/google_tag.script.js?qdp0fe","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","282","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.178","Sun, 19 Jul 2020 01:35:40 GMT","","","https://www.drupal.com/sites/default/files/google_tag/primary/google_tag.script.js?qdp0fe"
"https://www.drupal.com/advertise","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Advertise | Drupal.com","22","200","Drupal.com accepts selected advertisements, allowing you to associate your product or firm with the Drupal brand in a unique and meaningful way.","144","905","","0","Advertise","9","","0","Mega Menu","9","","0","","","","http://www.drupal.com/advertise","","","","","32813","711","14.965","2","","61","59","100.000","20","17","","","","","","","cee685244158c901f8cb8b22cfb7dccd","0.133","Sun, 19 Jul 2020 10:47:33 GMT","","","https://www.drupal.com/advertise"
"https://www.drupal.com/sites/default/files/inline-images/started2.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","10525","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.114","Thu, 01 Jan 1970 00:00:00 GMT","","","https://www.drupal.com/sites/default/files/inline-images/started2.png"
"https://www.drupal.com/sites/default/files/Drupal.com-Ad_v1-2.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","49229","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.176","Wed, 06 Mar 2019 22:24:06 GMT","","","https://www.drupal.com/sites/default/files/Drupal.com-Ad_v1-2.png"
