"Site Crawled","http://www.drupal.com/"
"Date","Monday, Aug 24, 2020"
"Time","12:04:03 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"Below 70 Characters","0","0.00%","59","Internal HTML pages with 2xx response"
"Over 1010 Pixels","2","3.39%","59","Internal HTML pages with 2xx response"
"Below 400 Pixels","0","0.00%","59","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","59","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","59","100.00%","59","Internal HTML pages with 2xx response"
"Missing","59","100.00%","59","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","59","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","59","Internal HTML pages with 2xx response"
""
"H1"
"All","59","100.00%","59","Internal HTML pages with 2xx response"
"Missing","1","1.69%","59","Internal HTML pages with 2xx response"
"Duplicate","10","16.95%","59","Internal HTML pages with 2xx response"
"Over 70 Characters","4","6.78%","59","Internal HTML pages with 2xx response"
"Multiple","3","5.08%","59","Internal HTML pages with 2xx response"
""
"H2"
"All","59","100.00%","59","Internal HTML pages with 2xx response"
"Missing","0","0.00%","59","Internal HTML pages with 2xx response"
"Duplicate","59","100.00%","59","Internal HTML pages with 2xx response"
"Over 70 Characters","0","0.00%","59","Internal HTML pages with 2xx response"
"Multiple","48","81.36%","59","Internal HTML pages with 2xx response"
""
"Images"
"All","358","100.00%","358","Images with 2xx response"
"Over 100 KB","187","52.23%","358","Images with 2xx response"
"Missing Alt Text","139","38.83%","358","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","358","Images with 2xx response"
""
"Canonicals"
"All","59","100.00%","59","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","46","77.97%","59","Internal HTML or PDF pages with 2xx response"
"Self Referencing","0","0.00%","59","Internal HTML or PDF pages with 2xx response"
"Canonicalised","46","77.97%","59","Internal HTML or PDF pages with 2xx response"
"Missing","13","22.03%","59","Internal HTML or PDF pages with 2xx response"
"Multiple","46","77.97%","59","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","46","77.97%","59","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","59","100.00%","59","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","59","Internal HTML pages with 2xx response"
"First Page","0","0.00%","59","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","59","Internal HTML pages with 2xx response"
"Pagination URL Not In Anchor Tag","0","0.00%","59","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","59","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","59","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","59","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","59","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","59","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","59","Internal HTML pages with 2xx response"
""
"Directives"
"All","430","100.00%","430","Internal URLs with 2xx response"
