"Address","Content","Size (bytes)","IMG Inlinks","Indexability","Indexability Status"
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.30.05%20AM.png?itok=3ybFZ78M","image/png","70105","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.21.12%20AM.png?itok=f0xl9PY8","image/png","184614","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2012.00.27%20PM.png?itok=_dGJQ9bN","image/png","138201","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.46.41%20AM.png?itok=xxmQZ9Mm","image/png","183454","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.39.39%20AM.png?itok=7L93H7TZ","image/png","119434","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.23.45%20AM.png?itok=FRtr_1zg","image/png","119529","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.29.14%20AM.png?itok=H3cDzaOX","image/png","144928","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/voya.png?itok=SXTSUsJ0","image/png","156086","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.48.54%20AM.png?itok=lZ5xwgzP","image/png","74551","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%202.27.20%20PM.png?itok=OAoCO58x","image/png","204099","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.24.55%20AM.png?itok=V4FIBd03","image/png","137274","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%202.24.54%20PM.png?itok=w_yORqa6","image/png","152984","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Início___Honda.jpg?itok=NnL1NH2H","image/jpeg","16090","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/grammy.jpg?itok=tqGq9mdq","image/jpeg","19153","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/spartan-screenshot-1_0.jpg?itok=0nVYajJK","image/jpeg","26649","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/johnsonjohnson.png?itok=Z5WEyiKq","image/png","129480","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/princess-screenshot.jpg?itok=fYj04o5C","image/jpeg","28654","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.56.06%20AM.png?itok=Sf-LG2sY","image/png","219056","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%202.19.37%20PM_0.png?itok=t1_sB0tc","image/png","181608","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%202.24.05%20PM_0.png?itok=feS9NZ97","image/png","288061","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.44.02%20AM.png?itok=xuANgC3s","image/png","194107","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.41.40%20AM.png?itok=cSK6g7c0","image/png","117764","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-13%20at%209.32.39%20AM.png?itok=ZswQAlZg","image/png","159740","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/NBC.png?itok=leBICQfJ","image/png","200160","1","Indexable",""
"https://www.drupal.com/sites/default/files/care-background.jpg","image/jpeg","262849","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/bruno.png?itok=uprkDuDL","image/png","220274","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/lush.png?itok=W5R_Dt07","image/png","149796","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/puma.png?itok=W9MYYXO0","image/png","187989","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/MSF.png?itok=s1jtek-X","image/png","232586","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/suncorp.png?itok=6bf1cVWF","image/png","142558","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/tcahome.png?itok=Vi6aFbxE","image/png","116889","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/oxford.png?itok=veMy27Xb","image/png","209958","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.32.51%20AM.png?itok=2l9KIqv0","image/png","156075","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/societegenerale.png?itok=Fh5oz6dX","image/png","82522","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/ebay-inc-screenshot.png?itok=PLNtYG6y","image/png","155986","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/WFP.png?itok=p7Rwm27w","image/png","189947","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/audubon.png?itok=FFBONcDh","image/png","205060","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/twitter-screenshot.png?itok=t2zesCCt","image/png","165715","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/earthhour.png?itok=bUl9qPrQ","image/png","237797","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/actionfraud.png?itok=nrK3zt7g","image/png","80578","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/redcross.png?itok=qOoCjXwj","image/png","130488","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/BBC_Good_Food___Recipes_and_cooking_tips.jpg?itok=cUHtoZTb","image/jpeg","30289","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/NBC-resize.jpg?itok=NkmmlFfv","image/jpeg","29132","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Royal_Mail___Royal_Mail_Group_Ltd.jpg?itok=yr-y_zCc","image/jpeg","29289","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/panmasschallenge.png?itok=rskqV4S-","image/png","235163","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/DOT.png?itok=fuwo3STH","image/png","227591","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/stanford.png?itok=HK-7wZGu","image/png","168114","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Turner.png?itok=xAqbnX5C","image/png","143915","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/autodesk-screenshot.png?itok=GkcZTjcW","image/png","146754","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/San_Antonio_Spurs___San_Antonio_Spurs_Team_News.jpg?itok=XxPGedLQ","image/jpeg","27908","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/2015_Kentucky_Derby___Oaks___May_1_and_2__2015___Tickets__Events__News.jpg?itok=Gmj3v6Fb","image/jpeg","25466","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/NCAA.png?itok=UODEVHF1","image/png","155332","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-16%20at%2010.17.32%20AM.png?itok=bClKN8dP","image/png","134675","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/cancerreasearch.png?itok=jHsOt7vD","image/png","115416","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/Screen%20Shot%202015-07-12%20at%201.06.59%20PM.png?itok=mMclPtJY","image/png","239606","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/dartmouth.png?itok=CJwGigYx","image/png","179637","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/PAC12.png?itok=7-yw0dEN","image/png","221706","1","Indexable",""
"https://www.drupal.com/sites/default/files/styles/showcase_screenshot/public/gatech.png?itok=XA949MrT","image/png","195201","1","Indexable",""
